PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
2.76,38.671875,90.0,-53.5,4396.73,0
2.76,34.804688,90.0,-53.5,4396.965,0
2.76,39.726563,90.0,-54.0,4396.73,0
2.78,37.617188,90.0,-49.0,4394.495,0
2.76,36.914063,90.0,-49.0,4394.535,0
2.76,38.671875,90.0,-48.5,4394.4,0
2.76,38.671875,90.0,-49.0,4394.72,0
2.76,36.914063,90.0,-49.0,4394.72,0
2.76,35.859375,90.0,-49.0,4394.635,0
2.76,36.914063,90.0,-48.5,4394.445,0
2.76,37.617188,90.0,-49.0,4394.77,0
2.76,36.914063,90.0,-48.5,4394.4,0
2.76,35.859375,90.0,-48.0,4394.535,0
2.76,37.617188,90.0,-48.5,4394.445,0
2.76,36.914063,90.0,-49.0,4394.535,0
2.76,37.617188,90.0,-49.0,4394.635,0
2.78,36.914063,90.0,-49.0,4394.635,0
2.76,36.914063,90.0,-49.0,4394.635,0
2.76,38.671875,90.0,-49.0,4394.445,0
2.76,38.671875,90.0,-54.0,4396.88,0
2.76,39.726563,90.0,-54.0,4396.83,0
2.76,38.671875,90.0,-53.5,4396.92,0
2.76,37.617188,90.0,-54.0,4396.78,0
2.76,37.617188,90.0,-53.5,4396.73,0
2.76,38.671875,90.0,-53.5,4396.965,0
2.76,39.726563,90.0,-54.0,4396.88,0
2.76,38.671875,90.0,-54.0,4396.88,0
2.76,48.515625,90.0,-48.0,4394.4,0
2.78,47.109375,90.0,-47.5,4394.535,0
2.76,47.460938,90.0,-48.0,4394.495,0
2.76,47.109375,90.0,-48.0,4394.445,0
2.78,48.515625,90.0,-48.0,4394.68,0
2.76,47.460938,90.0,-48.0,4394.635,0
2.76,47.109375,90.0,-48.0,4394.495,0
2.76,48.867188,90.0,-48.0,4394.635,0
4.23,170.15625,90.0,-49.0,1426.615,1
4.17,173.320313,90.0,-49.5,1428.11,1
4.19,173.320313,90.0,-51.5,1429.465,1
2.76,39.726563,90.0,-49.5,4397.015,0
2.76,40.429688,90.0,-49.0,4397.015,0
2.76,39.726563,90.0,-49.0,4396.965,0
2.76,40.429688,90.0,-49.0,4396.92,0
2.76,39.726563,90.0,-50.0,4397.015,0
2.76,40.429688,90.0,-49.5,4397.105,0
2.78,40.429688,90.0,-50.0,4397.015,0
2.76,39.726563,90.0,-50.0,4397.065,0
2.76,41.835938,90.0,-50.5,4394.445,0
2.76,38.671875,90.0,-51.0,4394.445,0
2.76,40.429688,90.0,-51.5,4394.68,0
2.76,40.429688,90.0,-51.5,4394.445,0
2.76,41.484375,90.0,-51.0,4394.35,0
2.76,41.484375,90.0,-51.5,4394.445,0
2.76,47.109375,90.0,-52.0,4394.495,0
2.76,41.835938,90.0,-52.0,4394.72,0
2.76,41.484375,90.0,-54.5,4394.35,0
2.76,41.484375,90.0,-55.0,4394.215,0
2.76,47.109375,90.0,-54.0,4394.215,0
2.76,47.109375,90.0,-54.0,4394.26,0
2.76,41.484375,90.0,-53.0,4394.4,0
2.76,43.242188,90.0,-53.5,4394.26,0
2.76,42.890625,90.0,-52.5,4394.26,0
2.76,42.890625,90.0,-52.5,4394.26,0
4.17,173.320313,90.0,-50.0,1426.9,1
4.17,173.320313,90.0,-51.0,1427.365,1
4.09,173.320313,90.0,-63.0,1430.725,1
4.05,173.320313,90.0,-62.5,1428.48,1
4.54,174.726563,90.0,-48.5,1428.9,1
4.4,171.5625,90.0,-51.0,1428.345,1
1.06,173.320313,90.0,-62.0,1425.835,1
1.09,173.320313,90.0,-61.5,1425.92,1
74.94,176.835938,90.0,-60.0,1375.875,0
1.13,173.320313,90.0,-40.5,1375.65,1
1.13,173.320313,90.0,-39.5,1375.875,1
9.86,99.84375,90.0,-58.0,1383.775,1
4.36,173.320313,90.0,-43.5,1427.59,1
5.41,338.90625,90.0,-15.0,549.635,1
1.04,171.5625,90.0,-65.5,1425.835,1
0.93,168.398438,90.0,-65.5,1426.01,1
1.05,173.320313,90.0,-64.0,1375.875,1
1.04,174.726563,90.0,-63.0,1375.735,1
0.99,171.5625,90.0,-65.5,1425.97,1
0.99,171.5625,90.0,-64.5,1426.43,1
1.01,186.679688,90.0,-52.0,4543.695,0
1.01,186.679688,90.0,-52.0,4543.88,0
1.0,183.164063,90.0,-62.5,4543.93,0
0.96,181.757813,90.0,-61.5,4544.115,0
1.01,181.757813,90.0,-44.0,4543.695,0
1.01,180.0,90.0,-44.0,4543.745,0
1.01,180.0,90.0,-45.0,4543.745,0
1.01,181.757813,90.0,-44.5,4543.645,0
1.01,180.0,90.0,-45.0,4543.745,0
1.01,183.164063,90.0,-45.0,4543.605,0
1.01,180.0,90.0,-45.0,4543.645,0
1.01,180.0,90.0,-47.5,4543.645,0
1.01,181.757813,90.0,-47.0,4543.745,0
1.01,180.0,90.0,-54.0,4543.795,0
1.01,181.757813,90.0,-54.0,4543.745,0
1.01,180.0,90.0,-49.0,4543.695,0
1.01,181.757813,90.0,-48.5,4543.56,0
4.11,171.5625,90.0,-63.0,1428.11,1
12.15,178.242188,90.0,-51.5,4543.745,0
12.04,180.0,90.0,-51.5,4543.745,0
1.01,180.0,90.0,-48.0,4543.745,0
1.01,178.242188,90.0,-48.5,4543.84,0
1.01,176.835938,90.0,-51.0,4543.795,0
1.01,180.0,90.0,-51.0,4543.84,0
1.01,180.0,90.0,-51.0,4543.745,0
1.01,178.242188,90.0,-51.0,4543.84,0
1.01,178.242188,90.0,-55.5,4543.98,0
0.98,178.242188,90.0,-55.5,4544.115,0
12.04,178.242188,90.0,-53.0,4543.695,0
12.04,178.242188,90.0,-53.0,4543.795,0
12.11,180.0,90.0,-60.0,4543.98,0
12.13,181.757813,90.0,-60.5,4543.695,0
0.98,180.0,90.0,-60.0,4543.695,0
1.0,178.242188,90.0,-60.0,4543.84,0
1.0,176.835938,90.0,-52.5,4543.795,0
1.01,180.0,90.0,-52.0,4543.84,0
1.01,180.0,90.0,-56.0,4543.88,0
1.01,178.242188,90.0,-56.5,4543.605,0
1.01,180.0,90.0,-44.0,4543.645,0
1.01,178.242188,90.0,-44.5,4543.645,0
12.04,180.0,90.0,-54.0,4543.745,0
12.04,178.242188,90.0,-54.5,4543.84,0
1.01,180.0,90.0,-44.0,4543.605,0
1.01,180.0,90.0,-44.0,4543.56,0
1.01,180.0,90.0,-50.5,4543.745,0
1.0,180.0,90.0,-50.5,4543.605,0
1.01,180.0,90.0,-59.0,4543.88,0
0.99,180.0,90.0,-58.5,4543.93,0
1.01,181.757813,90.0,-51.0,4543.93,0
1.01,181.757813,90.0,-51.5,4543.795,0
1.01,180.0,90.0,-47.0,4543.695,0
1.01,180.0,90.0,-47.5,4543.645,0
