PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
5.47,123.75,90.0,-32.0,1375.92,0
10.9,123.75,90.0,-32.0,1375.92,0
3.82,7.03125,90.0,-58.0,1375.51,0
26.05,95.273438,90.0,-32.5,1425.875,0
26.05,96.679688,90.0,-32.5,1425.835,0
5.2,98.4375,90.0,-33.0,1425.875,0
5.59,96.679688,90.0,-33.0,1425.835,0
226.75,96.679688,90.0,-40.5,1376.195,1
3.97,189.84375,90.0,-66.0,1357.18,0
2.83,211.289063,90.0,-70.0,1357.835,0
2.77,221.484375,90.0,-65.5,1357.365,0
2.89,48.515625,90.0,-71.5,1355.5,0
9.4,88.242188,90.0,-40.5,1425.65,0
9.28,88.242188,90.0,-41.0,1425.65,0
10.84,78.398438,90.0,-43.5,1425.65,0
9.67,73.476563,90.0,-44.5,1425.69,0
5.95,111.09375,90.0,-34.5,1425.55,0
5.92,112.5,90.0,-34.5,1425.465,0
11.5,117.421875,90.0,-18.0,1375.55,0
11.47,118.828125,90.0,-18.0,1375.55,0
4.39,86.835938,90.0,-39.0,1425.875,0
4.39,83.320313,90.0,-39.5,1425.97,0
5.59,106.523438,90.0,-34.5,1425.6,0
6.73,84.726563,90.0,-37.0,1426.01,0
6.64,84.726563,90.0,-37.0,1426.01,0
6.67,88.242188,90.0,-36.0,1425.97,0
6.67,84.726563,90.0,-36.5,1425.835,0
8.08,101.601563,90.0,-33.5,1375.55,0
5.29,93.164063,90.0,-35.0,1425.465,0
5.23,91.757813,90.0,-35.0,1425.51,0
8.05,109.335938,90.0,-17.5,1425.735,0
7.99,107.929688,90.0,-17.5,1425.835,0
7.9,107.929688,90.0,-17.5,1425.785,0
7.99,107.929688,90.0,-17.5,1425.69,0
8.02,107.929688,90.0,-17.5,1425.6,0
8.5,109.335938,90.0,-17.5,1425.785,0
8.92,118.828125,90.0,-18.0,1375.6,0
9.4,117.421875,90.0,-18.0,1375.23,0
8.53,111.09375,90.0,-33.0,1375.69,0
8.47,112.5,90.0,-33.5,1375.6,0
8.23,96.679688,90.0,-36.5,1425.785,0
6.64,348.398438,90.0,-67.0,1425.92,0
8.14,98.4375,90.0,-36.5,1425.735,0
7.24,323.4375,90.0,-69.5,1425.92,0
8.44,128.320313,90.0,-39.5,1375.6,0
3.88,62.578125,90.0,-62.0,1376.01,0
9.43,90.0,90.0,-40.5,1425.6,0
8.83,95.273438,90.0,-41.0,1425.55,0
9.43,109.335938,90.0,-38.5,1425.785,0
9.58,107.929688,90.0,-38.5,1425.735,0
6.7,109.335938,90.0,-17.5,1425.6,0
6.79,107.929688,90.0,-17.5,1425.55,0
7.6,105.117188,90.0,-29.5,1425.735,0
8.68,105.117188,90.0,-29.5,1425.875,0
7.72,106.523438,90.0,-29.5,1425.69,0
7.69,105.117188,90.0,-30.0,1425.785,0
6.94,95.273438,90.0,-32.0,1425.785,0
6.94,95.273438,90.0,-32.0,1425.785,0
7.03,96.679688,90.0,-31.5,1425.735,0
6.88,96.679688,90.0,-31.5,1425.92,0
