PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
2.47,311.484375,90.0,-70.0,1640.065,1
2.89,311.484375,90.0,-67.0,1640.395,1
2.98,221.484375,90.0,-73.0,1642.19,1
4.27,221.484375,90.0,-73.0,1640.825,1
21.64,268.242188,90.0,-65.5,1640.48,-1
7.15,266.835938,90.0,-65.5,1640.2,1
7.27,276.679688,90.0,-67.0,1640.295,1
34.33,263.320313,90.0,-30.5,1640.725,0
34.33,263.320313,90.0,-30.5,1640.725,0
102.13,268.242188,90.0,-51.5,1640.295,0
102.13,270.0,90.0,-51.0,1640.445,0
94.33,311.484375,90.0,-68.5,1639.39,0
94.57,311.484375,90.0,-68.5,1639.34,0
34.78,266.835938,90.0,-65.5,1640.48,0
34.78,263.320313,90.0,-65.5,1640.395,0
37.3,268.242188,90.0,-60.0,1641.195,0
37.18,268.242188,90.0,-60.0,1641.01,0
74.29,162.070313,90.0,-60.5,1614.39,0
74.23,162.070313,90.0,-61.5,1614.82,0
112.45,268.242188,90.0,-62.5,1640.775,0
111.82,273.164063,90.0,-63.5,1641.06,0
60.94,276.679688,90.0,-64.5,1640.445,0
27.13,276.679688,90.0,-65.0,1640.63,0
30.58,148.710938,90.0,-38.5,1394.26,0
30.58,148.710938,90.0,-38.0,1394.31,0
12.97,270.0,90.0,-67.0,1640.725,1
11.59,266.835938,90.0,-66.0,1640.58,1
9.85,268.242188,90.0,-66.0,1640.63,1
13.18,268.242188,90.0,-67.0,1640.065,1
37.15,271.757813,90.0,-65.5,1640.2,0
37.18,268.242188,90.0,-65.5,1641.86,0
3.13,221.484375,90.0,-71.0,1640.395,1
35.83,266.835938,90.0,-66.5,1639.77,0
5.68,221.484375,90.0,-71.0,1640.58,1
16.6,221.484375,90.0,-69.5,1638.92,1
48.49,264.726563,90.0,-64.5,1639.865,0
48.25,263.320313,90.0,-65.0,1640.48,0
48.28,266.835938,90.0,-64.5,1640.2,0
48.4,263.320313,90.0,-65.5,1640.865,0
34.69,309.375,90.0,-69.5,1639.72,0
5.68,271.757813,90.0,-66.5,1640.58,1
63.1,304.453125,90.0,-69.5,1639.865,0
34.45,221.484375,90.0,-70.5,1641.06,0
34.78,263.320313,90.0,-66.0,1641.06,0
34.18,266.835938,90.0,-65.5,1640.15,0
34.24,264.726563,90.0,-65.0,1640.48,0
111.64,221.484375,90.0,-68.0,1641.575,0
111.58,254.882813,90.0,-64.5,1641.675,0
100.3,261.5625,90.0,-63.5,1640.445,0
100.45,298.828125,90.0,-66.5,1639.965,0
48.97,292.5,90.0,-64.5,1640.345,0
49.0,289.335938,90.0,-63.5,1640.25,0
34.78,221.484375,90.0,-70.5,1640.58,0
34.75,221.484375,90.0,-69.0,1640.58,0
26.8,138.515625,90.0,-68.0,1615.1,0
13.78,260.15625,90.0,-65.0,1639.965,1
13.6,263.320313,90.0,-64.5,1639.77,1
42.73,270.0,90.0,-66.0,1639.865,0
53.29,266.835938,90.0,-65.5,1639.68,0
41.83,221.484375,90.0,-70.0,1640.1,0
42.04,266.835938,90.0,-66.0,1640.25,0
9.07,221.484375,90.0,-67.5,1639.105,1
8.5,263.320313,90.0,-65.5,1640.065,1
3.34,263.320313,90.0,-65.5,1639.72,1
37.24,221.484375,90.0,-70.5,1640.725,0
37.18,221.484375,90.0,-71.0,1640.63,0
97.3,264.726563,90.0,-67.5,1640.865,0
96.97,263.320313,90.0,-66.5,1641.525,0
37.24,252.070313,90.0,-64.5,1640.96,0
37.18,206.015625,90.0,-65.0,1640.63,0
27.13,221.484375,90.0,-72.0,1640.345,0
23.32,221.484375,90.0,-68.0,1639.535,0
22.57,221.484375,90.0,-69.0,1639.77,0
73.6,138.515625,90.0,-64.0,1615.285,0
73.57,151.171875,90.0,-63.0,1615.15,0
7.6,308.320313,90.0,-41.5,1639.72,1
7.6,309.375,90.0,-41.5,1639.82,1
34.9,333.984375,90.0,-59.5,1640.345,0
34.9,304.453125,90.0,-57.5,1640.295,0
37.18,221.484375,90.0,-68.0,1640.725,0
36.67,197.929688,90.0,-67.0,1641.625,0
